专业代号及名称,院校代号及名称,投档计划数,投档最低位次
03中国语言文学类(师范类),A489长江大学,3,55565
5H药学类,B660重庆理工大学,2,55588
34健康服务与管理,A344浙江中医药大学,2,55599
0R飞行器制造工程(航空维修工程与技术),A406南昌航空大学,4,55629
22应急管理,A530湘潭大学,3,55632
25医学检验技术,A361安徽理工大学,2,55636
1U测控技术与仪器,B065青岛大学,39,55661
29测控技术与仪器,A289江苏科技大学,4,55711
28电子信息工程(中外合作办学),A617重庆邮电大学,12,55721
23材料类,A618重庆交通大学,3,55728
1P教育学(师范类),A759石河子大学,5,55734
37自然地理与资源环境,A704西安科技大学,4,55744
51化学工程与工业生物工程,A188东北电力大学,3,55748
12预防医学,A114山西医科大学,3,55762
38药学,A160锦州医科大学,2,55767
91建筑学,A304南通大学,2,55768
0L金融学,B417北京联合大学,7,55803
09机械设计制造及其自动化,A759石河子大学,4,55809
1U数据科学与大数据技术(中外合作办学),A009北方工业大学,3,55821
0R精神医学,A226哈尔滨医科大学,9,55833
0L计算机类,A107石家庄铁道大学,18,55845
09冶金工程(菁英班),A674昆明理工大学,3,55849
ZR中药学(日语强化班),A163沈阳药科大学,3,55853
59化学工程与工艺,A212黑龙江大学,2,55861
5U园艺,A341浙江农林大学,1,55871
05小学教育(师范类),B258大连大学,2,55885
3M环境科学,A755新疆大学,4,55900
44信息管理与信息系统,A674昆明理工大学,3,55912
17法语,A212黑龙江大学,2,55933
02海洋科学类,A340浙江海洋大学,6,55959
5A机械类,B660重庆理工大学,3,55961
1B公共事业管理,A636四川师范大学,2,55966
11会计学,A370安徽师范大学,2,55982
02制药工程,A199长春中医药大学,1,55998
11数学与应用数学(中外合作办学),F301宁波诺丁汉大学,6,56000
0Z电子信息类,A636四川师范大学,2,56007
09财务管理,A378安徽财经大学,2,56033
06广告学,A012北京服装学院,3,56035
36行政管理(地方专项计划),B065青岛大学,10,56042
17医学检验技术,A114山西医科大学,1,56072
30化工与制药类,A703西安建筑科技大学,4,56098
20化工与制药类(中外合作办学)(2加2),F301宁波诺丁汉大学,2,56100
1U公共管理类(地方专项计划),A445山东师范大学,12,56111
0N公共事业管理,A226哈尔滨医科大学,2,56125
06法学,A736西北师范大学,2,56134
59金融学类,B660重庆理工大学,3,56158
0C国际经济与贸易,C050上海商学院,3,56172
12财务管理,A370安徽师范大学,2,56175
02审计学,A207吉林财经大学,4,56194
76护理学,A304南通大学,2,56198
